"mProtein","dProtein"
"P06280","Q99523"
"P04629","Q99523"
"P05231","Q99523"
"Q01638","Q9BXN2"
"Q9BSE2","Q9BXN2"
"Q8N205","Q9BXN2"
"Q96BA8","Q9H115"
"Q53GL0","Q9H115"
"O15155","Q9H115"
"Q92997","Q9HC52"
"Q92993","Q9HC52"
"O00257","Q9HC52"
"Q96KN7","Q9HC52"
"Q8IXK0","Q9HC52"
"P42568","Q9HC52"
"P19320","Q9NZI8"
"Q00839","Q9NZI8"
"Q5T7N2","Q9NZI8"
"Q5S007","Q9NZI8"
"Q14457","Q9UBU9"
"Q96CG3","Q9UBU9"
"Q9H079","Q9UBU9"
"Q6P1L6","Q9UBU9"
"Q53TS8","Q9UJY1"
"P49247","Q9UJY1"
"Q7L5A3","Q9UJY1"
"Q9UNI6","Q9UJY1"
"Q9HCK5","O15397"
"P54253","O15397"
"Q15077","O15397"
"Q15797","O15397"
"Q9Y275","O15397"
"Q86VQ0","O15397"
"P27105","O15397"
"Q9UKV8","O15397"
"O43296","O15397"
"Q9H9G7","O15397"
"P19532","O15397"
"Q9BUG6","O15397"
"Q68CZ1","O15397"
"Q9H6K4","O14925"
"Q9BVV7","O14925"
"Q6PEY1","O14925"
"Q8N5N7","O95900"
"O76031","O95900"
"Q9Y2S7","O95900"
"P09622","P07741"
"P19320","P07741"
"Q6DKK2","P07741"
"Q06124","P08069"
"P31946","P08069"
"P05556","P08069"
"Q9Y4H2","P08069"
"Q9NZN5","P08069"
"P04264","P0DN76"
"O95678","P0DN76"
"P40692","P0DN76"
"Q5JST6","P0DN76"
"A7MD48","P0DN76"
"Q6FHY5","P0DN76"
"Q8TAU3","P0DN76"
"P35222","P08575"
"P00533","P08575"
"P20701","P08575"
"Q9Y6D6","P19338"
"P49407","P19338"
"P56945","P19338"
"P19338","P19338"
"Q13464","P19338"
"Q96JS3","P22736"
"Q9Y4D7","P22736"
"P04637","P22736"
"P14923","P35221"
"Q9H0H5","P35221"
"Q5VT06","P35221"
"P25963","P35221"
"Q99714","P35221"
