"mProtein","dProtein"
"O75348","Q08379"
"Q15735","Q08379"
"Q96I25","Q08379"
"Q15319","Q08379"
"Q8WUT1","Q08379"
"Q5T4S7","Q08379"
"Q9Y247","Q08379"
"Q56NI9","Q08379"
"Q8N715","Q08379"
"Q9NVL8","Q08379"
"P49756","Q08379"
"Q9Y6Y8","Q08379"
"Q6P444","Q08379"
"P38936","Q08379"
"Q8IX12","P19320"
"O75146","P19320"
"O00459","P19320"
"Q9UBC2","P19320"
"Q9Y6I3","P19320"
"P49327","P19320"
"Q14157","P19320"
"P35658","P19320"
"Q16643","P19320"
"P53990","P19320"
"O15357","P19320"
"P26640","P19320"
"P04792","P19320"
"P54819","P19320"
"P27816","P19320"
"Q9Y5A9","P19320"
"Q9UPN3","P19320"
"Q13057","P19320"
"P19623","P19320"
"P25786","P19320"
"Q8N5M4","P19320"
"P51532","P19320"
"Q9BQG0","P19320"
"Q9Y520","P19320"
"Q86XP3","P19320"
"P49588","P19320"
"Q7KZF4","P19320"
"P04818","P19320"
"Q1WWK5","P19320"
"Q9Y490","P19320"
"E9PAU2","P19320"
"Q9Y5J1","P19320"
"Q15149","P19320"
"Q8WXE9","P19320"
"Q6PKG0","P19320"
"A5YKK6","P19320"
"O14979","P19320"
"O94979","P19320"
"P30626","P19320"
"Q15233","P19320"
"P51148","P19320"
"Q14671","P19320"
"P67870","P19320"
"Q8WWM7","P19320"
"P55884","P19320"
"P42166","P19320"
"P10412","P19320"
"A6NHR9","P19320"
"O00233","P19320"
"O00291","P19320"
"P27708","P19320"
"P36776","P19320"
"Q9NR56","P19320"
"P11940","P19320"
"P09496","P19320"
"Q14166","P19320"
"Q14204","P19320"
"Q5T4S7","P19320"
"O14776","P19320"
"O00560","P19320"
"P12829","P19320"
