"mProtein","dProtein"
"Q8WXD5","O94842"
"P06821","Q96TA2"
"Q9NX40","Q96TA2"
"Q12824","Q96TA2"
"Q9UBP5","Q93062"
"O43189","Q93062"
"P01344","Q93062"
"P30119","Q93062"
"Q96HA1","Q93062"
"Q9Y5V3","Q93062"
"Q9BVN2","Q93062"
"Q8N9N5","Q93062"
"Q13227","Q93062"
"Q6PIY7","Q93062"
"P86479","Q93062"
"Q6ZVT0","Q93062"
"Q03989","Q93062"
"O75603","Q93062"
"O95947","Q93062"
"Q15637","Q93062"
"Q96K80","Q93062"
"Q9NQ87","Q93062"
"Q5TAQ9","Q93062"
"Q86UW9","Q93062"
"P07910","P07910"
"P12931","P07910"
"D1LN35","P07910"
"P35637","P07910"
"O60812","P07910"
"B2RXH8","P07910"
"Q8IZD4","P26196"
"P03410","P26196"
"P17028","P26196"
"P19320","P26196"
"Q8NDV7","P26196"
"Q6P2E9","P26196"
"Q4ZGA4","Q12959"
"C5E526","Q9Y4W2"
"P49336","Q9Y4W2"
"P22087","Q9Y4W2"
"P03372","Q9Y4W2"
"P06932","Q9BQB6"
"Q8TBB6","Q9BQB6"
"Q96TC7","Q9BQB6"
"Q86VP1","O15111"
"Q92985","O15111"
"P01106","O15111"
"O14920","O15111"
"P07900","O15111"
"P46527","O15111"
"P19838","O15111"
"Q16543","O15111"
"Q77M19","O15111"
"Q8NFZ5","O15111"
"Q9H0F6","O15111"
"Q86WI3","O15111"
"Q77M19","P13010"
"P09874","P13010"
"Q14191","P13010"
"Q9Y463","Q9BRK4"
"Q9P2Z0","Q9BRK4"
"Q6NYC8","Q9BRK4"
"Q8WUT1","Q9BRK4"
"P52298","Q9BRK4"
"Q9BRR0","Q9BRK4"
"O15481","Q9BRK4"
"O95391","Q9BRK4"
"Q494U1","Q9BRK4"
"Q96JP0","Q9BRK4"
"Q9HC52","Q9BRK4"
"Q8NEC5","Q9BRK4"
"Q53TS8","Q9BRK4"
"Q13895","Q9BRK4"
"Q9P0T4","Q9BRK4"
"O75604","Q9BRK4"
"Q96NE9","Q9BRK4"
"O43189","Q9BRK4"
"O75909","Q9BRK4"
"Q9NP86","Q9BRK4"
"Q8WWY3","Q9BRK4"
"Q13573","Q9BRK4"
"Q15560","Q9BRK4"
"Q674X7","Q9BRK4"
"O60828","Q9BRK4"
"Q9WMX2","Q9BRK4"
"Q8TBE0","Q9BRK4"
"Q8WTP8","Q9BRK4"
"P03372","Q9BRK4"
"O75771","Q9BRK4"
"Q9UM82","Q9BRK4"
"Q9BRK4","Q9BRK4"
"P03433","P49736"
"O43823","P49736"
"Q96H20","P49736"
"P33993","P49736"
"O75164","P49736"
"Q9BTE3","P49736"
"P19320","P49736"
"Q5S007","P49736"
"F5HF68","Q09472"
"P10275","Q09472"
"O43524","Q09472"
"Q8WUF5","Q09472"
"Q92993","O60684"
"P03070","O60684"
"Q15637","O60684"
"Q9HAN9","O60684"
"O43148","O60684"
"P78424","O60684"
"P46087","O60684"
"Q92688","O60684"
"P02545","O60684"
"Q16594","O60684"
"P20700","O60684"
"X5D778","O60684"
"O14893","O60684"
"Q9Y5V3","Q6P1W5"
"Q8NI38","Q6P1W5"
"Q86UW9","Q6P1W5"
"Q67296","Q6P1W5"
"Q9UMX2","Q6P1W5"
"Q8N9N5","Q6P1W5"
"Q5TA45","Q6P1W5"
"P86479","Q6P1W5"
"P86480","Q6P1W5"
"Q8WXE1","Q6P1W5"
"O95947","Q6P1W5"
"O43251","Q6P1W5"
"P54253","Q6P1W5"
"Q9UI26","Q6P1W5"
"O75031","Q6P1W5"
"P46108","Q6P1W5"
"O75360","Q6P1W5"
"Q96CN9","Q6P1W5"
"O75553","Q6P1W5"
"Q8IYR0","Q6P1W5"
"P52597","Q6P1W5"
"O14770","Q6P1W5"
"Q9NWB1","Q6P1W5"
"Q86WV8","Q6P1W5"
"O95231","Q6P1W5"
"A5D8V6","Q6P1W5"
"Q8IWX8","Q6P1W5"
"Q14687","Q6P1W5"
"Q8WU79","Q6P1W5"
"P03428","Q8NHQ1"
"Q3B820","Q8NHQ1"
"Q8WXI9","Q8NHQ1"
"Q3MJ62","Q8NHQ1"
"P10809","Q8NHQ1"
"Q5JVL4","Q9NSC5"
"O75604","Q9NSC5"
"P50458","Q9NSC5"
"Q96MY7","Q9NSC5"
"Q3KSR7","Q9NSC5"
"Q14517","Q9NSC5"
"O95995","Q9NSC5"
"Q16512","Q9NSC5"
"O15371","Q9NSC5"
"Q92733","Q9NSC5"
"Q8TC05","Q9NSC5"
"O43516","Q9NSC5"
"P26367","Q9NSC5"
"Q92993","Q08379"
"Q9Y618","Q08379"
"Q15561","Q08379"
"Q99IB8","Q08379"
